Time,AEL1,AEL2,AEL3,AEL4,AEL5,AEL8,AEL11,AEL13,AET1,AET2,AET3,AET4,AET5,AET6,AET7,AET8,AET9,AET10,AET11,AET12,AET13,AET14,AET15,AET16,AET17,AET18,AET19,AET20,AET21,AET22,AET23,AET24,AET25,AET26,AET27,AET28,AET29,AET30,AET31,AET32,AET33,AET34,AET35,AET36,AET37,AET38,AET39,AET40,AET41,AET42,AET43,AET44,AET45,AET46,AET47,AET48,AET49,AET50,AET51,AET52,AET53,AET54,AET55,AET56,AET57,AET58,AET59,AET60,AET61,AET62,AET63,AET64,AET65,AET66,AET67,AET68,AET69,AET70,AET71,AET72
0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
0,0,0,0,0,0,0,0,0,155,135,49,0,139,0,59,128,33,0,64,84,0,95,86,100,99,47,64,30,42,45,45,68,0,61,68,0,98,82,89,58,80,101,0,101,33,36,84,79,0,96,157,105,121,108,87,111,96,135,144,78,79,111,100,127,136,10,8,2,90,90,138,94,90,70,80,157,151,0,73,116
0,0,0,0,0,0,0,0,0,172,158,61,0,161,0,80,150,46,0,82,102,0,121,111,116,113,61,86,60,60,71,75,113,0,80,83,0,124,105,102,76,93,121,0,111,53,48,101,101,0,113,163,127,127,136,101,128,114,153,150,99,100,122,125,145,144,31,30,16,121,103,147,116,109,107,102,175,161,0,92,137
1,29,29,28.5,29,29,29.5,29.5,6,30,28.5,27.5,,28.5,,30,30,31,,24,29.5,,31.5,33.5,32,34.5,31.5,32,33.5,34,24.5,26,29,,31,31.5,31,29.5,22.5,24,26,27.5,23.5,27.5,27.5,28.5,29.5,28.5,28,,29.5,30,27.5,27,29,27,28,27.5,25.5,25.5,29.5,29.5,21,23,24.5,24.5,27.5,27.5,27.5,23.5,25,25.5,25.5,25,24.5,25,27.5,28,26.5,31.5,27
2,29,29,28.5,29,29,28,29.5,4,29.5,28.5,27.5,,28.5,,30,30,30.5,,24,29.5,,31,32.5,31.5,32.5,31.5,32.5,33.5,33.5,25,26,29,,29,30.5,30.5,29.5,23.5,24,24.5,26.5,23.5,27.5,27.5,27.5,28.5,28.5,28,,28.5,29,27.5,27,27.5,27,28.5,27,25.5,25.5,28,28,21,23,24.5,25,28,28,28.5,23.5,25,25.5,25.5,25,24.5,25,27.5,28,26,28.5,26.5
3,28.5,29,28.5,29,29.5,28,29.5,2.5,29,28.5,27.5,,28.5,,30,30,30.5,,24,29.5,,30.5,32.5,31,32,31.5,32.5,33.5,33.5,25,26,29,,28.5,30,30.5,29.5,24,23.5,24,25,23.5,27.5,27.5,28.5,27.5,28.5,28.5,,27,29,27.5,27.5,27,27,28.5,27,25.5,25.5,27.5,27.5,21,23,24.5,25,27,26,40,23.5,25.5,25.5,25.5,25.5,24.5,25,27,28,26.5,26.5,26.5
4,28.5,29.5,28.5,29,29.5,27.5,29.5,1,29,28.5,27.5,,28.5,,30,30,31,,24,29.5,,30.5,32,31,31.5,31.5,32.5,33.5,33.5,25,26,29,,28.5,29.5,30.5,29.5,24.5,23.5,23,24,23.5,27.5,27.5,30,28,28.5,28.5,,27,28.5,27.5,27.5,27,27,29,26.5,25.5,25.5,27.5,27.5,21,23,25.5,25.5,26,25,57,23.5,25.5,25.5,25.5,25.5,24.5,25,27,27.5,26,26,26
5,28.5,29.5,28.5,29,29.5,27.5,29.5,0,29,28.5,27.5,,28.5,,30,30,31.5,,23.5,29.5,,30.5,31.5,30.5,31.5,31.5,32.5,33.5,33.5,25,26,29,,29,29.5,30.5,29.5,25,23.5,23,23.5,23.5,27.5,27.5,31,29,28.5,28.5,,28,28.5,27.5,27.5,26.5,27,29.5,25.5,25.5,25.5,27,27,21,22.5,25.5,25.5,25,25,70,23.5,25.5,25.5,25.5,25.5,24.5,25,26.5,27.5,26,25.5,25.5
6,28,29.5,28.5,29,29.5,26.5,29.5,-1,29,28.5,27.5,,28.5,,30,30,31.5,,23.5,29.5,,30.5,31.5,30.5,31.5,31.5,32.5,33,33.5,25,26,29,,28.5,29.5,30.5,29.5,25.5,23.5,22.5,23,23.5,27.5,27.5,31.5,29.5,28.5,28.5,,29,28.5,27.5,27.5,26.5,27,30,25,25,25.5,27,27,21,22.5,25.5,25.5,26,24.5,76.5,23.5,24.5,25.5,25.5,25,24.5,25,26.5,27.5,26,25.5,25.5
7,27.5,29.5,28.5,29,29.5,26.5,29.5,-1.5,29,28.5,27.5,,28.5,,30,30,31,,23.5,29.5,,30.5,31.5,30.5,31.5,31.5,32.5,33,33,25,26,29,,28.5,29.5,30.5,29.5,26,23,22.5,23,23.5,27.5,27.5,32,30.5,29.5,29,,29.5,28.5,27.5,27.5,26.5,26.5,30.5,24.5,25,25.5,27,27,21,22.5,25.5,25.5,25,24.5,80,23.5,23.5,25.5,25.5,25,24.5,25,26.5,28,25.5,25.5,25.5
