alpha	beta	eta	r
2.096272503	166.1578673	11.69174081	4.129454661
0.011261723	0.003049901	315.1753119	12.16902447
0.089527852	0.000104215	1225.474925	30.97985714
0.016924891	0.345915847	486.6633792	18.11386837
2.053263253	647.9265535	0.002166224	132.6253078
0.029611207	0.033746162	1.669390913	0.018629196
0.522948829	104.5355362	12.90618944	11.2804393
35.92500722	1031.19724	0.003140988	97.77923424
19.84144322	304.1395465	23.20491095	2.60068085
0.007692805	0.00068964	278.69889	6.014106179
0.005482018	7.23E-006	4.346184484	3.102020391
0.535890732	110.4001517	10.07095727	9.105657769
0.054303595	0.126646734	0.455994168	0.01695365
1.060789779	0.000827754	0.236254993	3.540336511
0.012335418	7.15E-006	25.60768345	61.44176244
0.075431936	0.000397996	409.3574034	113.8706512
0.638799065	387.0950783	0.002019091	221.9931254
0.14415783	0.000126892	1.067869672	3.46394645
9.212282673	804.8007627	0.001011498	1.447167956
0.014795306	3.60534E-05	397.5848909	100.9030296
197.9126101	5075.731388	0.002178054	4.129393881
0.256284082	0.083106052	234.9302481	70.62886978
0.044866055	4.16546E-05	122.1506596	8.709820317
0.281516075	0.015605467	178.6848697	94.83690931
53.61298278	810.8033683	0.000513105	0.770945003
101.5050585	2993.588069	0.003375563	38.28300403
24.25850382	39.45628213	1.794608951	0.139916427
52.93717788	1367.236907	0.000343385	0.751414783
146.5345774	4666.009113	0.001552747	31.95414438
13.48166862	308.7265857	12.06126049	2.090323522
0.056443166	0.002018387	364.1818738	67.64862128
0.00297758	0.015220493	1.140009956	0.04038471
1.098131894	0.00104308	0.137898485	9.366419904
0.01341331	8.08E-006	18.951275	53.52461834
0.42158815	0.003102378	0.101099195	3.249545841
2.919107441	0.007215323	0.118243892	35.58005166
0.033709662	0.074264314	393.7806153	23.79556388
0.41768244	0.003428192	0.161863455	2.971955179
0.05136566	0.20620313	542.1214967	13.28825588
0.798908548	0.000399867	0.362954605	13.14669315
35.86191656	1800.905517	0.00149668	7.038424503
0.12153372	0.088193244	457.7173622	54.21216777
0.124199517	0.014499917	0.021391688	1.638525956
3.461500066	0.004048342	0.198734244	13.18261355
0.001563013	0.002032851	225.015919	11.3660409
0.492183633	69.27131944	32.03540419	10.2867722
0.003489458	0.002318085	326.0382188	5.061239247
6.411056363	229.7149636	14.72393676	3.408830352
0.005529682	0.135722817	21.25319683	22.88399312
0.065350125	0.052992797	0.804621265	0.020780917
30.94816842	2043.814096	0.002167469	2.537188645
0.367093633	185.9909221	0.000525475	0.473802214
2.112727047	0.003287331	0.119982046	3.221351945
0.02090211	0.000314633	643.8333362	132.0945535
0.039504344	0.040080933	0.791537653	0.004760598
0.01582176	1.74668E-05	280.5945178	109.8932596
0.109601647	2.6912E-05	0.649421655	14.7647143
0.492183633	69.27131944	32.03540419	10.2867722
0.091830581	0.050629399	201.0748727	49.65592678
0.191141356	0.130045446	232.3435218	36.10257794
0.162992328	1.589879851	0.131676782	0.087841417
0.021112342	2.564690022	5.945211561	39.38230069
0.027183533	1.41781E-05	13.19238764	0.983679645
0.717821699	66.25572633	36.00826482	11.55785461
0.009824971	0.156948911	625.6847276	18.91467372
0.044545278	0.102630796	0.470904922	0.014670063
0.010747791	0.02562766	1043.250815	21.1208599
0.042991129	3.64971E-05	410.2277247	49.78837413
0.060821428	4.611099918	21.63692304	147.5139897
0.067699334	7.36517E-05	1205.184716	37.62440652
0.041287504	0.146212253	489.4406083	10.85572622
0.549874979	0.719322911	0.002730613	1.974556919
40.19648852	31.15611084	0.805786071	0.106855052
0.133157639	0.947033758	0.153877286	0.098763892
1.370224599	220.5971278	0.000156096	1.550414173
0.036515201	0.000109941	282.6799457	154.9729884
0.006190485	0.082868368	790.7759254	3.724753397
0.001480943	0.002599728	174.9071901	11.94876526
0.019794771	0.033528903	1350.471251	27.85007097
0.65397327	306.7422474	0.000517812	0.717989981
2.270690404	0.244289902	0.008142572	1.332684455
0.010743404	3.58841E-05	9.335770568	10.53263003
1.647744245	0.685735966	0.734982799	0.036966175
0.006244889	0.12739132	806.0325175	29.11730431
5.390303407	13.57910507	0.571299837	0.152464075
0.202223359	1.508092743	0.154926248	0.087568526
0.022448632	8.04E-006	11.06862915	4.279168666
3.610483509	14.74085224	0.288234965	0.06323218
0.387225922	0.003243715	0.065960163	3.178736678
0.003429612	0.076197753	18.72708588	25.67182186
0.061220473	0.141194164	0.533189161	0.001854155
0.18566096	0.839372008	0.001221724	2.143993836
0.507884234	340.9982578	0.001671599	153.670068
0.043500072	0.026152795	0.704056967	0.011137513
0.016587419	4.53E-006	6.313761527	4.71396722
0.021431134	0.04434489	373.3192833	35.5557141
0.004657833	0.255277821	13.44092206	101.3974761
0.176068738	0.166510109	417.2759326	48.49540802
0.007502796	0.001147747	268.385016	4.637610874
0.004946924	0.018756734	0.370670082	0.011362176
0.058361358	0.000222625	3424.056281	56.63890885
0.239913134	1.5974264	0.005064652	7.741435587
0.01582176	1.74668E-05	280.5945178	109.8932596
4.349626169	18.2208339	0.403281305	0.078229656
0.951606822	9.969535884	0.374942859	0.064520278
0.000826097	0.008124645	0.851528345	0.03073766
0.006917794	0.001799944	140.5921368	7.253867067
0.009691792	0.025538625	1396.118828	12.32333532
0.005772833	0.018214667	2338.935922	16.48582099
0.172957033	0.189747695	472.9800779	38.71820266
6.411056363	229.7149636	14.72393676	3.408830352
0.483672018	0.141344262	210.1321231	40.91702713
8.593803016	684.4409798	0.001349585	106.3400211
0.28478834	1.216906341	0.001107176	1.941873129
0.522948829	104.5355362	12.90618944	11.2804393
0.008007054	0.21103456	317.9804006	37.276579
20.65015928	102.8397174	0.000502621	2.247706338
0.760866451	156.9791067	0.000152949	1.40596389
0.128016922	0.269437687	0.204042047	0.009882244
0.032667785	0.000425468	1210.580353	123.9914362
0.678514582	15.78396457	0.002800544	2.497570209
335.7574183	4546.053114	17.94434314	0.591670309
1.196339021	0.243261347	0.018137308	1.793040223
0.067288889	5.00531E-05	101.0378142	22.61415266
31.72064803	2430.489933	0.001633245	6.607422533
0.007299702	3.42603E-05	462.2397026	60.24820978
0.424660991	0.113811918	204.0357777	82.81050098
0.095868452	7.05299E-05	0.939671793	3.965074223
0.01159836	1.99E-006	8.463742299	3.51992724
27.63080882	1015.99317	0.001123513	1.910324311
14.25146803	59.27990599	0.000985065	2.36557368
1.210274915	0.001790046	0.069315649	4.470044485
26.07006545	306.5151933	2.252693126	0.619152192
